,location,BHK,total_sqft,bath,price
0,Electronic City Phase II,2,1056.0,2.0,39.07
1,Chikka Tirupathi,4,2600.0,5.0,120.0
2,Uttarahalli,3,1440.0,2.0,62.0
3,Lingadheeranahalli,3,1521.0,3.0,95.0
4,Kothanur,2,1200.0,2.0,51.0
5,Whitefield,2,1170.0,2.0,38.0
6,Old Airport Road,4,2732.0,4.0,204.0
7,Marathahalli,3,1310.0,3.0,63.25
8,Whitefield,3,1800.0,2.0,70.0
9,7th Phase JP Nagar,2,1000.0,2.0,38.0
10,Gottigere,2,1100.0,2.0,40.0
11,Sarjapur,3,2250.0,3.0,148.0
12,Mysore Road,2,1175.0,2.0,73.5
13,Bisuvanahalli,3,1180.0,3.0,48.0
14,Raja Rajeshwari Nagar,3,1540.0,3.0,60.0
15,others,2,1100.0,2.0,48.0
16,Binny Pete,3,1755.0,3.0,122.0
17,Bellandur,3,1767.0,3.0,103.0
18,Thanisandra,1,510.0,1.0,25.25
19,others,3,1250.0,3.0,56.0
20,Electronic City,2,660.0,1.0,23.1
21,Whitefield,3,1610.0,3.0,81.0
22,Ramagondanahalli,2,1151.0,2.0,48.77
23,Electronic City,3,1025.0,2.0,47.0
24,Yelahanka,4,2475.0,4.0,186.0
25,Bisuvanahalli,3,1075.0,2.0,35.0
26,Hebbal,3,1760.0,2.0,123.0
27,Raja Rajeshwari Nagar,3,1693.0,3.0,57.39
28,Kasturi Nagar,3,1925.0,3.0,125.0
29,Kanakpura Road,2,700.0,2.0,36.0
30,Electronics City Phase 1,2,1070.0,2.0,45.5
31,Kundalahalli,3,1724.0,3.0,125.0
32,Chikkalasandra,3,1290.0,2.0,56.12
33,Uttarahalli,2,1143.0,2.0,45.0
34,Murugeshpalya,2,1296.0,2.0,81.0
35,Sarjapur  Road,3,1254.0,3.0,38.0
36,others,1,600.0,1.0,38.0
37,Yelahanka,1,660.0,1.0,48.0
38,Kanakpura Road,2,1330.74,2.0,91.79
39,Doddathoguru,2,970.0,2.0,33.0
40,Whitefield,2,1459.0,2.0,94.82
41,others,2,869.0,2.0,36.0
42,others,2,1270.0,2.0,50.0
43,Bhoganhalli,3,1670.0,3.0,99.0
44,Whitefield,3,2010.0,3.0,91.0
45,Lakshminarayana Pura,2,1185.0,2.0,75.0
46,Yelahanka,3,1600.0,2.0,75.0
47,Begur Road,2,1200.0,2.0,44.0
48,Devanahalli,4,3210.0,2.0,192.0
49,others,2,840.0,2.0,45.0
50,others,3,4395.0,3.0,240.0
51,others,2,845.0,2.0,55.0
52,Varthur,2,1160.0,2.0,44.0
53,Doddathoguru,2,1100.0,2.0,62.0
54,Gunjur,2,1140.0,2.0,43.0
55,Marathahalli,2,1220.0,2.0,57.0
56,Kanakpura Road,2,1005.0,2.0,36.68
57,Begur Road,2,1358.0,2.0,80.58
58,Hegde Nagar,3,1569.0,3.0,101.0
59,Haralur Road,2,1240.0,2.0,70.0
60,Hennur Road,3,2089.0,3.0,140.0
61,Kothannur,2,1206.0,2.0,48.23
62,Kalena Agrahara,2,1150.0,2.0,40.0
63,others,3,2511.0,3.0,205.0
64,ISRO Layout,6,4400.0,6.0,250.0
65,others,3,1660.0,2.0,105.0
66,Hennur Road,4,3203.5,2.0,224.5
67,Yelahanka,2,1326.0,2.0,78.0
68,Garudachar Palya,3,1325.0,2.0,60.8
69,Hegde Nagar,6,3000.0,7.0,210.0
70,Kanakpura Road,3,1665.0,3.0,88.0
71,Dasanapura,2,708.0,2.0,37.0
72,Kasavanhalli,2,1060.0,2.0,58.06
73,Sanjay nagar,2,1000.0,2.0,70.0
74,others,3,1450.0,2.0,70.0
75,Thanisandra,2,1296.0,2.0,80.0
76,Domlur,3,1540.0,3.0,90.0
77,Sarjapura - Attibele Road,3,1330.0,2.0,48.0
78,others,2,1200.0,2.0,65.0
79,others,3,1200.0,3.0,90.0
80,Yeshwanthpur,3,2502.0,3.0,138.0
81,Kothanur,3,2400.0,2.0,150.0
82,others,2,1007.0,2.0,43.0
83,others,2,1200.0,2.0,50.0
84,others,2,966.0,2.0,49.9
85,Nagarbhavi,3,1630.0,2.0,98.0
86,others,2,782.0,2.0,55.68
87,Devanahalli,2,1260.0,2.0,66.78
88,others,3,1800.0,3.0,120.0
89,others,3,1413.0,2.0,75.0
90,Whitefield,2,1116.0,2.0,51.91
91,Electronic City,3,1530.0,2.0,45.9
92,Ramamurthy Nagar,4,3700.0,4.0,225.0
93,Sarjapur  Road,3,2497.0,3.0,140.0
94,Kengeri,3,1540.0,2.0,64.0
95,Thanisandra,3,1436.0,3.0,74.75
96,Malleshwaram,2,1100.0,2.0,75.0
97,Shampura,4,2650.0,4.0,150.0
98,Devanahalli,3,1282.0,2.0,68.52
99,Kadugodi,2,1050.0,2.0,34.0
100,LB Shastri Nagar,3,1600.0,3.0,65.0
101,others,2,945.0,2.0,54.0
102,Hormavu,2,1500.0,2.0,78.0
103,others,3,1870.0,3.0,110.0
104,Sarjapur,3,1600.0,3.0,75.0
105,Kudlu Gate,3,1535.0,3.0,83.0
106,Kanakpura Road,2,950.0,2.0,57.0
107,Devanahalli,2,1360.0,2.0,65.0
108,8th Phase JP Nagar,2,1073.5,2.0,54.005
109,Bommasandra Industrial Area,3,1280.0,3.0,50.4
110,others,3,1260.0,2.0,85.05
111,Yelahanka,5,3050.0,5.0,213.0
112,Kasavanhalli,3,1563.05,3.0,105.0
113,ISRO Layout,2,1000.0,2.0,60.0
114,Anandapura,2,1167.0,2.0,43.76
115,Kothanur,3,1828.0,3.0,110.0
116,Kengeri Satellite Town,2,890.0,2.0,35.0
117,Mysore Road,3,1710.0,4.0,91.31
118,Kannamangala,2,957.0,2.0,58.0
119,Devarachikkanahalli,3,1250.0,2.0,44.0
120,Hulimavu,2,1125.0,2.0,50.0
121,Electronic City Phase II,2,1020.0,2.0,30.6
122,Kalena Agrahara,2,1200.0,2.0,50.0
123,Thanisandra,3,1735.0,3.0,135.0
124,Thanisandra,3,2050.0,3.0,145.0
125,others,3,1350.0,2.0,48.0
126,Hosa Road,2,1063.0,2.0,32.0
127,others,3,1904.0,3.0,150.0
